Family,Species,Tb,Tb err,Tb (N),Ref,Tb err type,Notes,,
Liolaemidae,Liolaemus curicensis,34.97,0.68,9,Labra (2009) AmNat,SE,,,
Liolaemidae,Phymaturus antofagastensis,34.9,,,"Cruz et al. 2009; Espinoza, Wiens and Tracy 2004",,,,
,Liolaemus punctatissimus,34.8,0.24,19,Labra (2009) AmNat,SE,,,
Liolaemidae,Liolaemus buergeri,34.7,,,"Espinoza, Wiens, and Tracy 2004",,,,
Tropiduridae,Microlophus peruvaianus,34.7,,,Huey 1974,,,,
Phrynosomatidae,Phrynosoma solare,34.7,,,Pianka and Parker 1975,,,,
Phrynosomatidae,Sceloporus olivaceus,34.7,,,"Andrews 1998 (Tb = 32.5 and 36.5 depending on the elevation); Brattstrom 1965 (Tb 36.0øC, N=1, listed as Sceloporus olivacea); Blair 1960",,,,
Liolaemidae,Liolaemus lorenzmuelleri,34.65,0.54,13,Labra (2009) AmNat,SE,,,
Sphaerodactylidae,Gonatodes antillensis,34.5,,,Bennett and Gorman 1979,,,,
Agamidae,Pogona barbata,34.5,,,"Light et al. 1966 (Tb 35.7øC, SD = 0.80, N = 6), Sch„uble and Grigg 1998",,,,
Scincidae,Ctenotus robustus,34.4,,,Bennett and John-Alder 1986,,,,
Liolaemidae,Liolaemus petrophilus,34.4,,,"Cruz et al. 2005; Espinoza, Wiens and Tracy 2004",,,,
Tropiduridae,Tropidurus torquatus,34.4,,,"Hatano et al. 2001; Kohlsdorf and Navas 2006 (33.27, error = 2.15, could also be 35.60 with error of 1.90); Kiefer, Van Sluys, Rocha 2005; Ribeiro et al. 2008",,,,
Liolaemidae,Liolaemus quilmes,34.3,,,"Cruz et al. 2005; Espinoza, Wiens, and Tracy 2004",,,,
Liolaemidae,Liolaemus pseudolemniscatus,34.29,0.46,8,Labra (2009) AmNat,SE,,,
Scincidae,Ctenotus grandis,34.2,,,Pianka 1969,,,,
Tropiduridae,Microlophus albemarlensis,34.2,,,Stebbins et al. 1967; Carpenter 1970,,,,
Liolaemidae,Phymaturus palluma,34.2,,,"Cruz et al. 2009; Espinoza, Wiens and Tracy 2004",,,,
Tropiduridae,Eurolophosaurus nanuzae,34.1,,,"Kiefer, Van Sluys and Rocha 2005",,,,
Liolaemidae,Phymaturus indistinctus,34.1,,,"Cruz et al. 2009; Espinoza, Wiens and Tracy 2004",,,,
Lacertidae,Podarcis melisellensis,34.1,0.2,124,Scheers and Van Damme (2002),SE,,,
Liolaemidae,Liolaemus leopardinus,34.07,0.19,119,Labra (2009) AmNat,SE,,,
,Liopholis whitii,34,,,Huey and Bennett 1987; Johnson 1977; Spellerberg1972,,,,
Gekkonidae,Lygodactylus klugei,34,,,Vitt 1995,,,,
Scincidae,Plestiodon obsoletus,34,,,"Data come from Licht (1964) but that is a dissertation, cit in Due et al (2006) Can J. Zool; Brattstrom 1965",,,,
Lacertidae,Scelarcis perspicillata,33.93,0.38,23,Ortega et al. (2016) J. Th. Biol. -used male only Tb but females were very similar,SE,,,
Liolaemidae,Liolaemus lutzae,33.9,,,"Espinoza, Wiens, and Tracy 2004",,,,
Liolaemidae,Liolaemus tandiliensis,33.9,4.1,440,Stellatelli et al. (2018) J. Th. Biol.,SD,,,
Liolaemidae,Liolaemus xanthoviridis,33.9,,,"Cruz et al. 2005; Espinoza, Wiens and Tracy 2004",,,,
Liolaemidae,Liolaemus platei,33.82,0.49,9,Labra (2009) AmNat,SE,,,
Cordylidae,Cordylus oelofseni,33.8,,,Clusella Trullas et al. 2007 Evol Ecol,,,,
Liolaemidae,Liolaemus abaucan,33.8,,,"Cruz et al. 2005; Espinoza, Wiens, and Tracy 2004",,,,
Liolaemidae,Liolaemus parvus,33.74,2.46,36,Gomez Ales et al. 2017 J. Th. Biol.,SD,,,
Liolaemidae,Liolaemus pseudoanomalus,33.7,,,"Cruz et al. 2005; Espinoza, Wiens, and Tracy 2004; Villavicencio et al. 2007",,,,
Agamidae,Moloch horridus,33.7,,,"within Sunday 2011, Light et al. 1966 (Tb = 36.7, SD = 1.17, N = 9), Pianka and Pianka 1970 (",,,,
Phrynosomatidae,Doliosaurus modestum,33.6,,,Pianka and Parker 1975,,,,
Liolaemidae,Liolaemus canqueli,33.6,,,"Cruz et al. 2005; Espinoza, Wiens and Tracy 2004",,,,
Cordylidae,Cordylus jonesii,33.5,,,Bauwens et al. 1999,,,,
Lacertidae,Gallotia galloti,33.5,,,Diaz 1994,,,,
,Mabuya nigropunctata,33.5,,,"Mesquita et al. 2006; Vitt, Zani, and Lima 1997",,,,
Liolaemidae,Liolaemus fitzingerii,33.4,,,"Cruz et al. 2005; Espinoza, Wiens, and Tracy 2004",,,,
Liolaemidae,Liolaemus schroederi,33.4,,,"Labra (1998) Revista Chilena, Carothers et al 1997; Rodriguez-Serrano et al 2009; Escobar et al. 2001",,,,
Phrynosomatidae,Phrynosoma cornutum,33.4,0.45,83,"Kour & Hutchison 1970, Prieto & Whitford 1971. Tpref and Tb and E: Lara-Resendiz et al. (2015) J. Th. Biol.",SE,,,
Scincidae,Ctenotus schomburgkii,33.3,,,Pianka 1969,,,,
Liolaemidae,Liolaemus puna,33.3,,,"Espinoza, Wiens, and Tracy 2004",,,,
Phrynosomatidae,Sceloporus aeneus,33.3,,,"Andrews et al. 1997; Lemos-Espinal, Smith and Ballinger 2002 (Tb = 34.5, error = 2, n = 57)",,,,
Phrynosomatidae,Sceloporus orcutti,33.3,,,"Brattstrom 1965 (Tb 35.4øC, N = 21); Ortega et al. 1991 ( tb = 34.8, error = 0.2, n =4) ; Cunningham 1966; Soul‚ 1963; Mayhew 1963",,,,
Gekkonidae,Phelsuma madagascariensis,33.2,,,Ikeuchi et al. 2005,,,,
Lacertidae,Podarcis tauricus,33.2,2.11,89,Tsel and Tb from Sagonas et al. (2017) J. Th. Biol.,SD,,,
Scincidae,Pseudemoia entrecasteauxii,33.2,,,Spellerberg 1972; Huey and Bennet 1987,,,,
Scincidae,Ctenotus pantherinus,33.1,,,Heatwole 1976 (could not find paper in drive); Pianka 1969,,,,
Cordylidae,Karusasaurus polyzonus,33.1,,,Clusella Trullas et al. 2007 Evol Ecol,,,,
Liolaemidae,Liolaemus umbrifer,33.1,,,"Espinoza, Wiens and Tracy 2004",,,,
Scincidae,Liopholis whitii,33.1,,,within Sunday 2011 (not found in Sunday); Huey and Bennett 1987,,,,
Lacertidae,Ophisops elegans,33.1,0.1,,Perez-Mellado et al. (1993),SE,,,
Varanidae,Varanus mertensi,33.01,0.87,9,Mayes (2006) Thesis from Edith Cowan University,SE,,,
Tropiduridae,Tropidurus itambere,33,,,"Kohlsdorf and Navas 2006 (Tb = 30.90, Error = 2.73); Ribeiro et al. 2008; Van Sluys 2008",,,,
Liolaemidae,Liolaemus albiceps,32.9,,,"Cruz et al. 2005; Espinoza, Wiens, and Tracy 2004",,,,
Lacertidaee,Takydromus septentrionalis,32.9,,,"Xiang et al. 1996; Yang et al. 2008; Ji, Du, and Sun 1996",,,,
Scincidae,Tiliqua rugosa,32.9,,,"Bennett AF & Johnalder H (1986); Light et al. 1966 (Tb 33.8, SD = 1.10, N = 13); Firth, Belan and Daily 1998; Firth et al. 1999",,,,
Scincidae,Eutropis rudis,32.8,,,Inger 1959,,,,
Liolaemidae,Phymaturus somuncurensis,32.8,,,"Cruz et al. 2009; Espinoza, Wiens and Tracy 2004",,,,
Phrynosomatidae,Sceloporus merriami,32.8,,,within Huey et al. 2009; Huey unpublished,,,,
Liolaemidae,Liolaemus nigromaculatus,32.77,0.65,21,Labra (2009) AmNat,SE,,,
,Mabuya rudis,32.76,0.66,25,Inger 1959,SE,,,
Scincidae,Egernia striolata,32.7,,,Bennett AF & Johnalder H (1986),,,,
Gekkonidae,Rhoptropus afer,32.7,,,Werner and Whitaker 1978,,,,
Scincidae,Psychosaura macrorhyncha,32.6,,,Vrcibradic and Rocha 2002; Hatano et al. 2001; Vrcibradic and Rocha 2005,,,,
Lacertidae,Podarcis peloponnesiacus,32.59,2.81,85,Tsel and Tb from Sagonas et al. (2017) J. Th. Biol.,SD,,,
Lacertidae,Podarcis gaigeae,32.58,0.25,178,Sagonas et al. (2013) J. Th. Biol. SD also available in manuscript,SE,,,
Liolaemidae,Liolaemus ornatus,32.41,0.71,16,Labra (2009) AmNat,SE,,,
Cordylidae,Cordylus niger,32.4,,,Clusella Trullas et al. 2007 Evol Ecol,,,,
Lacertidae,Lacerta viridis,32.4,,,Rismiller and Heldmaier 1988,,,,
Scincidae,Lerista lineopunctulata,32.4,,,"Pough, Preest and Fusari 1997",,,,
Liolaemidae,Liolaemus occipitalis,32.4,,,Bujes and Verrastro 2006,,,,
Tropiduridae,Microlophus atacamensis,32.4,,,Sep£lveda et al. 2008,,,,
Phrynosomatidae,Sceloporus grammicus,32.4,,,"Lemos-Espinal & Ballinger 1995; Andrews 1998 (31.2, 31.6, 33, 33.6 all in different elevations and papers)",,,,
Liolaemidae,Phymaturus extrilidus,32.32,3.13,60,Gomez Ales et al. 2017 J. Th. Biol.,SD,,,
Liolaemidae,Liolaemus chaltin,32.3,,,"Espinoza, Wiens, and Tracy 2004",,,,
Lacertidae,Podarcis tiliguerta,32.22,0.32,232,"Bauwens et al. 1995; Tsel, Tb (Van Damme et al. 1989)",SE,,,
Liolaemidae,Liolaemus ramirezae,32.2,,,"Espinoza, Wiens, and Tracy 2004",,,,
Cordylidae,Cordylus vittifer,32.1,,,Bauwens et al. 1999,,,,
Liolaemidae,Liolaemus olongasta,32.1,,,Cruz et al. 2005; C novas et al. 2006,,,,
Liolaemidae,Liolaemus pictus,32.04,0.81,19,Labra (2009) AmNat; Kubisch et al. 2016,SE,,,
Gekkonidae,Chondrodactylus bibronii,32,,,"Stebbins 1961, Seely 1990",,,,
Chamaeleonidae,Furcifer pardalis,32,,,Ferguson et al. 2003,,,,
Cordylidae,Ouroborus cataphractus,32,,,Laburn et al. 1981,,,,
Scincidae,Plestiodon laticeps,32,,,"Pentecost 1974; Brattstrom 1965 (Tb 29.3øC, N = 3, listed as Eumeces laticeps); Watson 2008",,,,
Chamaeleonidae,Trioceros ellioti,32,,,"within Sunday 2011 (not found in Sunday), Bennett 2004",,,,
Scincidae,Lerista connivens,31.9,,,"Pough, Preest and Fusari 1997",,,,
Phrynosomatidae,Phrynosoma modestum,31.9,0.93,24,Lara-Resendiz et al. (2015) J. Th. Biol.,SE,,,
Lacertidae,Iberolacerta monticola,31.8,,,Busack 1978,,,,
Gekkonidae,Lepidodactylus lugubris,31.8,,,"Huey et al. 1989, Bolger and Case 1994",,,,
Liolaemidae,Liolaemus huacahuasicus,31.8,,,"Espinoza, Wiens, and Tracy 2004; Halloy 1988",,,,
Scincidae,Notomabuya frenata,31.8,,,Vrcibradic and Rocha 1998,,,,
Tropiduridae,Tropidurus montanus,31.7,,,Van Sluys et al. 2008,,,,
Agamidae,Phrynocephalus vlangalii,31.67,0.25,457,Wu et a. 2018 (J. Th. Biol.),SE,,,
Lacertidae,Dalmatolacerta oxycephala,31.6,0.2,93,Scheers and Van Damme 2002,SE,,,
Liolaemidae,Liolaemus multicolor,31.6,,,"Cruz et al. 2005; Espinoza, Wiens, and Tracy 2004",,,,
Liolaemidae,Liolaemus vallecurensis,31.5,0.32,8,Labra (2009) AmNat,SE,,,
Lacertidae,Iberolacerta bonnali,31.44,0.34,23,Ortega et al. (2016). males only. females very similar.,SE,,,
Lacertidae,Psammodromus algirus,31.44,4.27,134,within Huey et al. 2009; bauwens et al. 1995. TB data: Carretero and Llorente (1995) Scientia Herpetologica,SD,,"**Presented Median Tsel, so maybe can use error for Topt? Topt has SE. From same paper (Bauwens et al. 1995; Evolution)",
Tropiduridae,Tropidurus spinulosus,31.4,,,Lopez Juri et al. 2018 J. Thermal Biol.; Aun and Martori 1994,,,,
Gekkonidae,Hemidactylus turcicus,31.3,0.4,34,Angilletta et al. 1999; Huey et al. 1989,SE,,,
Scincidae,Lerista macropisthopus,31.3,,,"Pough, Preest and Fusari 1997",,,,
Lacertidae,Podarcis milensis,31.3,,,Adamopoulou and Valakos 2005,,,,
Lacertidae,Podarcis muralis,31.28,2.57,57,within Huey et al. 2009; bauwens et al. 1995. Tsel and Tb from Sagonas et al. (2017) J. Th. Biol.,SD,,,
Liolaemidae,Liolaemus bibronii **see below,31.22,0.75,13,Labra (2009) AmNat,SE,,,
Gekkonidae,Heteronotia binoei,31.2,,,"Spellerberg 1972,",,,,
Scincidae,Plestiodon chinensis,31.2,,,"Ji 1995; Du, Shou, and Shen 2006",,,,
,Lygodactylus foliorun,31.1,,,"Singh, Smith, and Blomberg 2002",,,,
Scincidae,Egernia stokesii,31,,,"Light et al. 1966 (Tb 32.6øC, SD = 2.16, N = 12, listed as E. stokesi) ; Lanham and Bull 2004",,,,
Colubridae,Phyllorhynchus decurtatus,31,,,"Cowles & Bogert 1944; Brattstrom 1965 (Tb = 24.0øC, N = ?)",,,,
Lacertidae,Iberolacerta cyreni,30.8,2.3,69,Aguado and Brana (2014) Can. J. Zool.,SD,,,
Liolaemidae,Liolaemus kingii,30.8,,,"Bonino et al. 2011 JEZ; Espinoza, Wiens, and Tracy 2004",,,,
Scincidae,Plestiodon elegans,30.8,,,"Du, Yan, and Ji 2000",,,,
Gekkonidae,Mediodactylus kotschyi,30.7,,,Valakos 1989,,,,
Scincidae,Plestiodon reynoldsi,30.7,,,Youseff et al. 2008; Andrews 1994,,,,
Scincidae,Ctenotus brooksi,30.6,,,Pianka 1969,,,,
Scincidae,Eulamprus kosciuskoi,30.6,,,within Sunday 2011 (not found in Sunday); Huey and Bennett 1987; Bennet and John-Alder 1986 (tsel data),,,,
Lacertidae,Iberolacerta galani,30.53,0.31,105,Ortega et al. (2016) J. Th. Biol. vol 62.,SE,,,
Lacertidae,Eremias przewalskii,30.4,,,Li et al. 2009,,,,
Chamaeleonidae,Trioceros jacksonii,30.4,,,"within Sunday 2011 (not found in Sunday), Bennett 2004 ",,,,
Varanidae,Varanus salvator,30.4,,,"Wikramanayake and Dryden 1993 (29.7 for active, 29.6 for inactive) (1.77 error for active, 2.06 error for inactive); Tr‘holt 1995",,,,
Liolaemidae,Liolaemus jamesi,30.36,0.64,15,Labra (2009) AmNat,SE,,,
Liolaemidae,Liolaemus elongatus,30.27,0.76,41,Ibarguengoytia (2005); CTmin and max are from Cruz et al. 2005,SE,,,
Helodermatidae,Heloderma horridum,30.2,,,Beck and Lowe 1991,,,,
Liolaemidae,Liolaemus bibronii,30.2,,,"Cruz et al. 2005; Espinoza, Wiens, and Tracy 2004; Medina et al. 2009",,,,
Cordylidae,Cordylus cordylus,30.1,,,Clusella Trullas et al. 2007 Evol Ecol,,,,
Scincidae,Eulamprus tympanum,30.1,,,within Sunday 2011(not found in Sunday); Huey and Bennett 1987 - listed as Eulamprus in Huey. Bennett and John-Alder 1986,,,,
Gerrhosauridae,Gerrhosaurus skoogi,30,,,Seely 1990,,,,
Lacertidae,Meroles anchietae,30,,,Seely 1990,,,,
Gekkonidae,Gehyra variegata,29.9,,,"within Sunday 2011 (not found in Sunday), Spellerberg 1972, Light et al. 1966 (Tb = 35.3, N = 7), Pianka and Pianka 1976 (26.5, error is 0.24, N = 262), Angilletta and Werner 1998",,,,
Scincidae,Plestiodon lasticutatus,29.8,,,Borkin et al. 2005,,,,
Phyliodactylidae,Ptyodactylus hasselquistii,29.8,,,"Werner and Whitaker 1978; Arad, Raber, and Werner 1989",,,,
Diplodactylidae,Naultinus rudis,29.6,,,Werner and Whitaker 1978,,,,
Scincidae,Lerista bougainvillii,29.5,,,Greer 1980; Qualls and Shine 1998,,,,
Scincidae,Plestiodon egregius,29.5,,50,"Mount (1963), cited in Youssef et al. 2008",,,,
Cordylidae,Cordylus macropholis,29.4,,,Bauwens et al. 1999,,,,
Helodermatidae,Heloderma suspectum,29.4,,,"brattstrom 1965 (Tb = 27.2øC, N = 57+), D.D. Beck 1990",,,,
Phrynosomatidae,Sceloporus cyanogenys,29.4,,,Garrick 1974,,,,
Chamaeleonidae,Trioceros hoehnelii,29.3,,,"within Sunday 2011 (not found in Sunday), Bennett 2004 ",,,,
Scincidae,Plestiodon gilberti,29.1,,,"Brattstrom 1965 (Tb 26.7øC, N=5); Youssef, Adolph and Richmond 2008",,,,
Colubridae,Natrix erythrogaster,29,,,,,,,
Leiosauridae,Pristidactylus torquatus,29,,,Labra 1995,,,,
Phrynosomatidae,Sceloporus jarrovii,29,0.5,10,Beal et al. 2014 Ecol Evol,SE,,,
Liolaemidae,Phymaturus patagonicus,28.95,0.83,21,Ibarguengoytia (2005),SE,,,
Cordylidae,Pseudocordylus melanotus,28.9,,,McConnachie et al. (2007) J. Th. Biol.,,,,
Chamaeleonidae,Trioceros bitaeniatus,28.9,,,"within Sunday 2011, Bennett 2004",,,,
Carphodactylidae,Underwoodisaurus milii,28.8,,,"Light et al. 1966 (Tb = 27.3, N = 5, listed as Phyllurus milii), Angilletta et al. 1999",,,,
Liolaemidae,Liolaemus ruibali,28.7,,,"Espinoza, Wiens and Tracy 2004; Villavicencio 2007",,,,
Tropiduridae,Plica umbra,28.7,,38,"Kohlsdorf and Navas 2006 (Tb = 29.10, N = 0.5) ; Gasnier et al. 1994",,,,
Scincidae,Eulamprus quoyii,28.6,,,within Sunday 2011 (not found in Sunday); Huey and Bennett 1987: Tsel: Bennett and John-Alder 1986,,,,
Scincidae,Eremiascincus fasciolatus,28.1,,,Bennett AF & Johnalder H (1986); Huey and Bennett (1987),,,,
Lathanotidae,Lanthanotus borneensis,28,,,Pianka and King 2004,,,,
Scincidae,Plestiodon skiltonianus,27.6,,,"Brattstrom 1965 (Tb 30.0øC, N = 9+); Cunningham 1966",,,,
Gekkonidae,Hemidactylus frenatus,27.4,0.6,8,Huey et al. 1989,SE,,,
Liolaemidae,Liolaemus magellanicus,27,,,Bonino et al. 2011 JEZ; Jaksic and Schwenk 1983,,,,
Colubridae,Natrix rhombifera,26.9,,,,,,,
Diplodactylidae,Lucasium stenodactylum,26.6,,,Pianka and Pianka 1976,,,,
Eublepharidae,Hemitheconyx caudicinctus,25.8,,,Dial and Grismer 1992,,,,
,Plestiodon anthracinus,25.8,,,"Brattstrom 1965 (Tb 25.0øC, N=47), cited in Youssef et al. 2008",,,,
Colubridae,Thamnophis elegans,25.7,,,"Scott et al 1982, Huey et al 1989",,,,
Anguidae,Elgaria coerulea,25.4,,,"Brattstrom 1965 (Tb = 15.8øC, N = 6), Vitt 1974, Stewart 1984",,,,
Sphaerodactylidae,Teratoscincus przewalskii,25,,,Autumn et al 1994; Semenov and Borkin 1992,,,,
Colubridae,Natrix sipedon,24.8,,,,,,,
Carphodactylidae,Nephrurus stellatus,24.2,,,Angilletta et al. 1999,,,,
Liolaemidae,Liolaemus walkeri,24,NA,1,Labra (2009) AmNat,SE,,,
Diplodactylidae,Naultinus manukanus,23.8,,,Werner and Whitaker 1978,,,,
Xantusiidae,Xantusia riversiana,23.7,,,"Brattstrom 1965 (23.5øC, N = 24, listed as Klauberina riversiana); Mautz, Daniels and Bennett 1992;",,,,
Scincidae,Hemiergis peronii,23.6,,,Bennett AF & Johnalder H (1986); Greer 1980; Huey and Bennett 1987,,,,
Diplodactylidae,Woodworthis maculatus,23.6,,,"Besson & Cree 2007,2011, Werner and Whitaker 1978, Rock et al. 2000",,,,
Scincidae,Insulasaurus arborens,23.3,,,Alcala and Brown1966,,,,
Scincidae,Pinoyscincus jagori,23.1,,,Scheffers et al 2014; Alcala and Brown 1966,,,,
Diplodactylidae,Naultinus stellatus,22.9,,,Werner and Whitaker 1978,,,,
Trogonophidae,Trogonophis wiegmanni,22,,,"Gatten and McClung 1981; Lopez, Civantos, and Mart¡n 2002",,,,
Eublepharidae,Goniurosaurus kuroiwae,19.2,,,Werner et al. 2006,,,,
Agamidae,Lophosaurus spinipes,19,,,Rummery et al. 1995,,,,
Diplodactylidae,Hoplodactylus duvaucelii,16.9,,,Werner and Whitaker 1978,,,,
Sphenodontidae,Sphenodon punctatus,14.5,,,Firth et al. 1999; Werner and Whitaker 1978,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
