Family,Species,Tb,Tb err,Tb (N),Ref,Tb err type,Notes,,
Gerrhosauridae,Gerrhosaurus nigrolineatus,33.2,,,Bowker 1984,,,,
Gerrhosauridae,Gerrhosaurus flavigularis,33.3,,176,Brattstrom 1965,,,,
Sphaerodactylidae,Gonatodes concinnatus,27,,156,Diele-Viegas et al. (2017),,,,
Sphaerodactylidae,Gonatodes hasemani,30.6,,22,Diele-Viegas et al. (2017),,,,
Sphaerodactylidae,Gonatodes humeralis,29.2,,110,Diele-Viegas et al. (2017),,,,
Agamidae,Gowidon longirostris,37.1,1.18,11,Light et al. 1966,,,,
Phyllodactylidae,Gymnodactylus amarali,30.2,,28,Diele-Viegas et al. (2017),,,,
Lacertidae,Heliobolus lugubris,37.7,0.19,176,Huey and Pianka 1977,SE,,,
Gekkonidae,Hemidactylus mabouia,27.4,,116,Diele-Viegas et al. (2017),,,,
Gekkonidae,Hemidactylus palaichthus,26.7,,76,Diele-Viegas et al. (2017),,,,
Scincidae,Hemiergis decresiensis,20.3,,,within Sunday 2011; Huey et al. 2009; Huey and Bennett 1987,,,,
Scincidae,Hemiergis quadrilineatus,27,1.15,4,Greer 1980; Light et al. 1966,,,,
Teiidae,Holcosus quadrilineatus,37.6,0.06,556,Hirth 1963; Hirth 1965,,,,
Colubridae,Hypsiglena torquata,29.5,,3,Brattstrom 1965,,,,
Iguanidae,Iguana iguana,35.3,,6,Brattstrom 1965. Tb from diele-vargas et al. 2018,,,,
Gymnophthalmidae,Iphisa elegans,28.2,,1,diele-vargas et al. 2018,,,,
Teiidae,Kentropyx altamazonica,36,,66,diele-vargas et al. 2018,,,,
Teiidae,Kentropyx calcarata,34.7,,99,"Tb: diele-vargas et al. 2018; Tsel, CTmin, CTmax, Topt: Pontes-Silva et al. (2018) J. Th. Biol.",,,,
Teiidae,Kentropyx pelviceps,35.1,,143,diele-vargas et al. 2018,,,,
Teiidae,Kentropyx striata,35.7,,111,"diele-vargas et al. 2018, Stebbins 1961",,,,
Lacertidae,Lacerta agilis,31.5,,,within Huey et al. 2009; bauwens et al. 1995,,,,
Lacertidae,Lacerta schreiberi,31.1,0.2,,within Huey et al. 2009; Hertz et al. 1983; Salvador and Arguello 1987,SE,,,
Colubridae,Lampropeltis elapsoides,26.2,,5,Brattstrom 1965,,,,
Colubridae,Lampropeltis getula,28.1,,18,Brattstrom 1965,,,,
Colubridae,Lampropeltis zonata,27.5,,3,Brattstrom 1965,,,,
Liolaemidae,Liolaemus alticolor,32.9,0.57,5,Labra (2009) AmNat,SE,,,
Liolaemidae,Liolaemus bellii,34.23,0.38,9,Labra (2009) AmNat,SE,,,
Liolaemidae,Liolaemus bitaeniatus,32.77,0.65,21,"Labra et al. 2009 (Espinoza, Wiens, and Tracy 2004 also has Tb but using Labra here)",,,,
Liolaemidae,Liolaemus chiliensis,34.54,0.67,11,Labra (2009) AmNat,SE,,,
Liolaemidae,Liolaemus constanzae,30.79,0.81,17,Labra (2009) AmNat,SE,,,
Liolaemidae,Liolaemus curis,32.89,0.31,67,Labra (2009) AmNat,SE,,,
Liolaemidae,Liolaemus cyanogaster,32.9,1.55,2,Labra (2009) AmNat,SE,,,
Liolaemidae,Liolaemus dorbignyi,29.4,NA,1,Labra (2009) AmNat,SE,,,
Liolaemidae,Liolaemus eledori,32.34,0.45,16,Labra (2009) AmNat,SE,,,
Liolaemidae,Liolaemus fabiani,31.26,0.27,50,Labra (2009) AmNat,SE,,,
Liolaemidae,Liolaemus fitzgeraldi,33.05,0.36,28,Labra (2009) AmNat; CTmax is from Cruz et al. 2005,SE,,,
Liolaemidae,Liolaemus fuscus,36,0.6,8,Labra (2009) AmNat,SE,,,
Liolaemidae,Liolaemus hellmichi,29.06,0.57,5,Labra (2009) AmNat,SE,,,
Gymnophthalmidae,Loxopholis percarinatum,29.7,,8,diele-vargas et al. 2018,,,,
,Masticophis flagellum,31.6,,11,Brattstrom 1965,,,,
Lacertidae,Meroles squamulosa,36.3,0.18,92,Huey and Pianka 1977,SE,,,
Lacertidae,Meroles suborbitalis,35.5,0.1,480,"Huey and Pianka 1977, Stebbins 1961",SE,,,
Lacertidae,Mesalina guttulata,27.69,3.9,11,Perez-Mellado (1992) J. Zool.,SD,,,
Lacertidae,Mesalina olivieri,33.36,4.34,16,Perez-Mellado (1992) J. Zool.,SD,,,
Carphodactylidae,Nephrurus laevissimus,22.5,,,Pianka and Pianka 1976,,,,
Carphodactylidae,Nephrurus vertebralis,24.1,,,Pianka and Pianka 1976,,,,
Scincidae,Notomabuya frenata,31.8,,145,diele-vargas et al. 2018,,,,
Lacertidae,Nucras intertexta,38.9,0.88,3,Huey and Pianka 1977,SE,,,
Lacertidae,Nucras tessellata,39.3,0.42,43,Huey and Pianka 1977,SE,,,
Colubridae,Opheodrys vernalis,25.6,,5,Brattstrom 1965,,,,
Anguidae,Ophisaurus attenuatus,32,,29,Brattstrom 1965,,,,
Opluridae,Oplurus cyclurus,39.8,,,"Muchlinski, Estany and Don 1994",,,,
Colubridae,Pantheropis obsoletus,28,,53,Brattstrom 1965,,,,
Lacertidae,Pedioplanis lineoocellata,36.9,0.11,649,"Huey and Pianka 1977, Stebbins 1961",SE,,,
Lacertidae,Pedioplanis namaquensis,37.8,0.16,151,Huey and Pianka 1977,SE,,,
Phrynosomatidae,Petrosaurus mearnsi,36,,1,Murrish & Vance 1968; Brattstrom 1965,,,,
Teiidae,Pholidoscelis pluvianotatus,37.8,0.34,21,Hirth 1965,,,,
Agamidae,Phrynocephalus helioscopus,33.1,,,Clemann 2008,,,,
Agamidae,Phrynocephalus interscapularis,32.4,,,Clemann 2008,,,,
Agamidae,Phrynocephalus mystaceus,32.3,,,Clemann 2008,,,,
Phrynosomatidae,Phrynosoma mcallii,37.4,,19,Brattstrom 1965,,,,
Phyllodactylidae,Phyllodactylus tuberculosus,22.7,,,Brattstrom 1965,,,,
Phyllodactylidae,Phyllopezus pollicaris,28.9,,10,Diele-Viegas et al. (2017),,,,
Colubridae,Pituophis catenifer,26.7,,27,Brattstrom 1965,,,,
Cordylidae,Platysaurus intermedius,28.8,,,Lailvaux et al. 2003; within Sunday et al. 2011 (not found in Sunday); Huey et al. 2009,,,,
Scincidae,Plestiodon anthracinus,25,,47,Brattstrom 1965,,,,
Scincidae,Plestiodon fasciatus,33,,41+,Fitch 1954; Brattstrom 1965,,,,
Scincidae,Plestiodon inexpectatus,33.2,,1,Brattstrom 1965,,,,
Scincidae,Plestiodon septenrionalis,28.5,,4,Brattstrom 1965,,,,
Scincidae,Plestiodon septentrionalis,28.5,,4,Brattstrom 1965,,,,
,Plestiodon skiltonianus,30,,9+,Brattstrom 1965,,,,
Scincidae,Plestiodon tetragrammus,28,,1,Brattstrom 1965,,,,
Scincidae,Plestiodon tetragrammus,28,,,"Brattstrom 1965, cited in Youssef et al. 2008",,,,
Tropiduridae,Plica plica,29.1,,56,diele-vargas et al. 2018; Vitt 1991,,,,
Lacertidae,Podarcis bocagei,32.3,,,within Huey et al. 2009; bauwens et al. 1995,,,,
Lacertidae,Podarcis hispanicus,34.1,,,within Huey et al. 2009; bauwens et al. 1995,,,,
Lacertidae,Podarcis lilfordi,33.5,,,within Huey et al. 2009; bauwens et al. 1995,,,,
Lacertidae,Podarcis liolepis,33.9,,,within Huey et al. 2009; bauwens et al. 1995,,,,
Polychrotidae,Polychrus acutirostris,35,,8,diele-vargas et al. 2018,,,,
Polychrotidae,Polychrus marmoratus,29,,1,diele-vargas et al. 2018,,,,
Gymnophthalmidae,Potamites ecpleopus,27,,63,diele-vargas et al. 2018,,,,
Gymnophthalmidae,Potamites juruazensis,26.4,,8,diele-vargas et al. 2018,,,,
Lacertidae,Psammodromus hispanicus,30.2,,,within Huey et al. 2009; bauwens et al. 1995,,,"**Presented Median Tsel, so maybe can use error for Topt? Topt has SE. From same paper (Bauwens et al. 1995; Evolution)",
Colubridae,Rhinocheilus lecontei,25.2,,6,Brattstrom 1965,,,,
